"d" "K" "m" "cv" "HR" "tau" "censoring" "matrix" "method_correction" "distribution" "delta.rmst" "var" "ci.low" "ci.up" "t_star"
7 10 80 0.6 1 0.001 0.2 "ind" "standard" "z" 12.9079421440147 12.2707356351693 6.04226478179276 19.7736195062366 365
7 10 80 0.6 1 0.001 0.2 "ind" "md" "z" 12.9079421440147 20.7912556047945 3.97101021877637 21.844874069253 365
7 10 80 0.6 1 0.001 0.2 "ind" "md" "t" 12.9079421440147 20.7912556047945 2.39315608764033 23.4227282003891 365
7 10 80 0.6 1 0.001 0.2 "ind" "kc" "z" 12.9079421440147 15.919166285407 5.08791517825728 20.7279691097721 365
7 10 80 0.6 1 0.001 0.2 "ind" "kc" "t" 12.9079421440147 15.919166285407 3.70725546676613 22.1086288212633 365
7 10 80 0.6 1 0.001 0.2 "ind" "fg" "z" 12.9079421440147 17.9201636988334 4.61098059720937 21.20490369082 365
7 10 80 0.6 1 0.001 0.2 "ind" "fg" "t" 12.9079421440147 17.9201636988334 3.14611601482031 22.6697682732091 365
7 10 80 0.6 1 0.001 0.2 "ind" "mbn" "z" 12.9079421440147 28.1908260323349 2.50150676370477 23.3143775243246 365
7 10 80 0.6 1 0.001 0.2 "ind" "mbn" "t" 12.9079421440147 28.1908260323349 0.664205417719138 25.1516788703103 365
7 10 80 0.6 1 0.001 0.2 "exc" "standard" "z" 1000 1000 1000 1000 365
7 10 80 0.6 1 0.001 0.2 "exc" "md" "z" 1000 1000 1000 1000 365
7 10 80 0.6 1 0.001 0.2 "exc" "md" "t" 1000 1000 1000 1000 365
7 10 80 0.6 1 0.001 0.2 "exc" "kc" "z" 1000 1000 1000 1000 365
7 10 80 0.6 1 0.001 0.2 "exc" "kc" "t" 1000 1000 1000 1000 365
7 10 80 0.6 1 0.001 0.2 "exc" "fg" "z" 1000 1000 1000 1000 365
7 10 80 0.6 1 0.001 0.2 "exc" "fg" "t" 1000 1000 1000 1000 365
7 10 80 0.6 1 0.001 0.2 "exc" "mbn" "z" 1000 1000 1000 1000 365
7 10 80 0.6 1 0.001 0.2 "exc" "mbn" "t" 1000 1000 1000 1000 365
6 10 80 0.6 1 0.001 0.2 "ind" "standard" "z" -10.7447228275558 147.106008523104 -34.5165901084023 13.0271444532907 365
6 10 80 0.6 1 0.001 0.2 "ind" "md" "z" -10.7447228275558 247.480129521261 -41.5778985721328 20.0884529170212 365
6 10 80 0.6 1 0.001 0.2 "ind" "md" "t" -10.7447228275558 247.480129521261 -47.0216296122266 25.532183957115 365
6 10 80 0.6 1 0.001 0.2 "ind" "kc" "z" -10.7447228275558 190.491763002198 -37.7959014202598 16.3064557651482 365
6 10 80 0.6 1 0.001 0.2 "ind" "kc" "t" -10.7447228275558 190.491763002198 -42.5719044436306 21.082458788519 365
6 10 80 0.6 1 0.001 0.2 "ind" "fg" "z" -10.7447228275558 224.694389390398 -40.124209618244 18.6347639631324 365
6 10 80 0.6 1 0.001 0.2 "ind" "fg" "t" -10.7447228275558 224.694389390398 -45.3112855623307 23.8218399072191 365
6 10 80 0.6 1 0.001 0.2 "ind" "mbn" "z" -10.7447228275558 201.99702556237 -38.6008398505822 17.1113941954706 365
6 10 80 0.6 1 0.001 0.2 "ind" "mbn" "t" -10.7447228275558 201.99702556237 -43.5189582484707 22.0295125933591 365
6 10 80 0.6 1 0.001 0.2 "exc" "standard" "z" -9.20404593186231 155.822901500712 -33.6700889187464 15.2619970550218 365
6 10 80 0.6 1 0.001 0.2 "exc" "md" "z" -9.20404593186231 250.818754483789 -40.2445020626486 21.8364101989239 365
6 10 80 0.6 1 0.001 0.2 "exc" "md" "t" -9.20404593186231 250.818754483789 -45.7248293548364 27.3167374911118 365
6 10 80 0.6 1 0.001 0.2 "exc" "kc" "z" -9.20404593186231 197.517149120848 -36.7495354851201 18.3414436213955 365
6 10 80 0.6 1 0.001 0.2 "exc" "kc" "t" -9.20404593186231 197.517149120848 -41.6128112546302 23.2047193909056 365
6 10 80 0.6 1 0.001 0.2 "exc" "fg" "z" -9.20404593186231 227.761132831144 -38.7833463415319 20.3752544778073 365
